Peak Mass	RT	Intensity	Cluster	Transform	Freq.	Prob.	M
109.95779911	128.910995483	2261.0222168	295	M+H	500.0	1.0	108.950522658
110.091326003	125.716003418	1494.51928711	296	M+H	500.0	1.0	109.084049551
110.105870757	119.439002991	1499.89038086	297	M+H	500.0	1.0	109.098594305
110.123968234	130.527999878	1260.01806641	298	M+H	500.0	1.0	109.116691782
166.990583709	122.581001282	6253.46777344	299	M+H	500.0	1.0	165.983307257
109.96088611	128.910995483	2134.66333008	300	M+H	500.0	1.0	108.953609658
110.097505504	125.716003418	1892.10717773	301	M+H	500.0	1.0	109.090229052
174.998698257	96.1536026001	26165.8691406	302	M+H	500.0	1.0	173.991421805
110.102338122	132.154998779	1505.97399902	303	M+H	500.0	1.0	109.09506167
183.022269384	122.581001282	1534.56384277	304	M+H	500.0	1.0	182.014992932
158.961220428	102.294998169	8445.45898438	305	M+H	500.0	1.0	157.953943976
182.9988968	127.31300354	4329.65478516	306	M+H	500.0	1.0	181.991620348
110.028193912	128.910995483	16824.6582031	307	M+H	500.0	1.0	109.02091746
110.056887594	137.013000488	3130.28515625	308	M+H	500.0	1.0	109.049611142
193.005984795	125.716003418	3246.74707031	309	M+H	500.0	1.0	191.998708343
109.963208382	137.013000488	2228.04882812	310	M+H	500.0	1.0	108.95593193
213.145657078	93.0960006714	29707.6601562	311	M+H	500.0	1.0	212.138380626
109.967074403	121.010002136	2927.32421875	312	M+H	500.0	1.0	108.959797951
110.037616495	119.439002991	8629.39355469	313	M+H	500.0	1.0	109.030340043
175.491415383	117.867996216	10598.3261719	314	M+H	500.0	1.0	174.484138931
243.287050612	127.31300354	6683.61669922	325	M+HC13	497	0.994	241.27642416
94.5454514354	96.1536026001	65048.4726562	316	M+H	500.0	1.0	93.5381749834
102.005838824	145.180999756	1844.40649414	317	M+H	500.0	1.0	100.998562372
153.032519407	37.5625991821	22200.9804688	318	M+H	500.0	1.0	152.025242956
153.032483078	83.9736022949	22692.0976562	319	M+H	500.0	1.0	152.025206626
110.035324418	137.013000488	6936.60449219	320	M+H	500.0	1.0	109.028047966
110.069147771	135.369995117	2125.42504883	321	M+H	500.0	1.0	109.061871319
110.077540813	128.910995483	2063.39477539	322	M+H	500.0	1.0	109.070264361
158.002690585	9.62465953827	187504.203125	323	M+H	500.0	1.0	156.995414133
559.517053342	155.268997192	3210.88427734	324	M+H	500.0	1.0	558.50977689
242.283700988	130.527999878	41130.765625	325	M+H	500.0	1.0	241.276424536
73.531811614	54.6819992065	157965.65625	326	M+H	500.0	1.0	72.524535162
109.977902156	121.010002136	3421.53588867	327	M+H	500.0	1.0	108.970625704
199.029068032	94.6187973022	71905.03125	328	M+H	500.0	1.0	198.02179158
199.029069565	18.8992996216	20035.7089844	329	M+H	500	1.0	198.021793113
90.506871438	4.97043991089	27041.3007812	330	M+H	500.0	1.0	89.499594986
237.019506649	119.439002991	10443.2675781	608	M+ACN+H	500	1.0	194.985681094
193.973445588	80.9321975708	158290.5625	332	M+H	500.0	1.0	192.966169136
